sweep,epoch,selection_metric,n_runs,pearson_linear_probe,spearman_linear_probe,pearson_knn_probe,spearman_knn_probe,pearson_cifar10c,spearman_cifar10c
simclr-tau,0,rankme,7,-0.8284,-0.9643,-0.8466,-0.9286,-0.8635,-0.8571
simclr-tau,0,rerankme,7,0.8322,0.9643,0.833,0.9286,0.8501,0.8571
simclr-tau,1,rankme,7,-0.8457,-1.0,-0.8811,-0.9643,-0.8731,-0.8929
simclr-tau,1,rerankme,7,0.8562,0.6786,0.875,0.6429,0.8483,0.8571
simclr-tau,2,rankme,7,-0.8745,-0.9643,-0.9092,-0.9286,-0.8984,-0.8571
simclr-tau,2,rerankme,7,0.845,0.6429,0.8826,0.6786,0.8062,0.75
simclr-tau,3,rankme,7,-0.9117,-1.0,-0.9422,-0.9643,-0.9074,-0.8929
simclr-tau,3,rerankme,7,0.7068,0.4643,0.7496,0.5357,0.5968,0.5714
simclr-tau,4,rankme,7,-0.9261,-1.0,-0.9522,-0.9643,-0.9074,-0.8929
simclr-tau,4,rerankme,7,0.7788,0.5,0.7846,0.6071,0.5794,0.5
simclr-tau,6,rankme,7,-0.933,-1.0,-0.9535,-0.9643,-0.9136,-0.8929
simclr-tau,6,rerankme,7,0.7802,0.5,0.784,0.5714,0.5779,0.6071
simclr-tau,7,rankme,7,-0.9403,-1.0,-0.9605,-0.9643,-0.914,-0.8929
simclr-tau,7,rerankme,7,0.7355,0.3929,0.728,0.4286,0.5238,0.5714
simclr-tau,8,rankme,7,-0.9379,-1.0,-0.9586,-0.9643,-0.9121,-0.8929
simclr-tau,8,rerankme,7,0.7141,0.3929,0.7123,0.4286,0.5118,0.5714
simclr-tau,9,rankme,7,-0.9451,-1.0,-0.964,-0.9643,-0.9169,-0.8929
simclr-tau,9,rerankme,7,0.6825,0.3929,0.6708,0.4286,0.4538,0.5714
simclr-tau,10,rankme,7,-0.9494,-1.0,-0.9681,-0.9643,-0.9171,-0.8929
simclr-tau,10,rerankme,7,0.7265,0.3929,0.7187,0.4286,0.5116,0.5714
simclr-tau,11,rankme,7,-0.9446,-1.0,-0.9641,-0.9643,-0.9162,-0.8929
simclr-tau,11,rerankme,7,0.7325,0.3929,0.7218,0.4286,0.5344,0.5714
simclr-tau,12,rankme,7,-0.9498,-1.0,-0.9667,-0.9643,-0.9206,-0.8929
simclr-tau,12,rerankme,7,0.7336,0.3929,0.7194,0.4286,0.5157,0.5714
simclr-tau,13,rankme,7,-0.9472,-1.0,-0.9649,-0.9643,-0.911,-0.8929
simclr-tau,13,rerankme,7,0.7209,0.3929,0.7082,0.4286,0.4979,0.5714
simclr-tau,14,rankme,7,-0.949,-1.0,-0.967,-0.9643,-0.9152,-0.8929
simclr-tau,14,rerankme,7,0.7236,0.3929,0.7055,0.4286,0.5054,0.5714
simclr-tau,15,rankme,7,-0.9419,-1.0,-0.962,-0.9643,-0.9083,-0.8929
simclr-tau,15,rerankme,7,0.7068,0.3929,0.6951,0.4286,0.5009,0.5714
simclr-tau,19,rankme,7,-0.9461,-1.0,-0.963,-0.9643,-0.9136,-0.8929
simclr-tau,19,rerankme,7,0.7475,0.3929,0.7288,0.4286,0.5425,0.5714
simclr-tau,20,rankme,7,-0.9392,-1.0,-0.9565,-0.9643,-0.911,-0.8929
simclr-tau,20,rerankme,7,0.7253,0.3929,0.7027,0.4286,0.5212,0.5714
simclr-tau,21,rankme,7,-0.9443,-1.0,-0.9616,-0.9643,-0.9111,-0.8929
simclr-tau,21,rerankme,7,0.7609,0.3929,0.7425,0.4286,0.559,0.5714
simclr-tau,22,rankme,7,-0.9422,-1.0,-0.96,-0.9643,-0.9149,-0.8929
simclr-tau,22,rerankme,7,0.7546,0.3929,0.7361,0.4286,0.5437,0.5714
simclr-tau,25,rankme,7,-0.9415,-1.0,-0.9579,-0.9643,-0.9174,-0.8929
simclr-tau,25,rerankme,7,0.7509,0.3929,0.7321,0.4286,0.5622,0.5714
simclr-tau,26,rankme,7,-0.9448,-1.0,-0.9593,-0.9643,-0.9166,-0.8929
simclr-tau,26,rerankme,7,0.7665,0.3929,0.7468,0.4286,0.5657,0.5714
simclr-tau,27,rankme,7,-0.9401,-1.0,-0.9567,-0.9643,-0.9089,-0.8929
simclr-tau,27,rerankme,7,0.7549,0.3929,0.7317,0.4286,0.5435,0.5714
simclr-tau,28,rankme,7,-0.9452,-1.0,-0.96,-0.9643,-0.9176,-0.8929
simclr-tau,28,rerankme,7,0.763,0.3929,0.7464,0.4286,0.5621,0.5714
simclr-tau,29,rankme,7,-0.9369,-1.0,-0.9535,-0.9643,-0.9166,-0.8929
simclr-tau,29,rerankme,7,0.7509,0.3929,0.7316,0.4286,0.5472,0.5714
simclr-tau,30,rankme,7,-0.9404,-1.0,-0.9559,-0.9643,-0.9146,-0.8929
simclr-tau,30,rerankme,7,0.7478,0.3929,0.7256,0.4286,0.5422,0.5714
simclr-tau,33,rankme,7,-0.9373,-1.0,-0.9541,-0.9643,-0.9178,-0.8929
simclr-tau,33,rerankme,7,0.7371,0.3929,0.7183,0.4286,0.5344,0.5714
simclr-tau,35,rankme,7,-0.9347,-1.0,-0.9526,-0.9643,-0.9107,-0.8929
simclr-tau,35,rerankme,7,0.7702,0.3929,0.7478,0.4286,0.57,0.5714
simclr-tau,36,rankme,7,-0.94,-1.0,-0.955,-0.9643,-0.9107,-0.8929
simclr-tau,36,rerankme,7,0.7484,0.3929,0.7264,0.4286,0.5428,0.5714
simclr-tau,39,rankme,7,-0.936,-1.0,-0.9534,-0.9643,-0.9124,-0.8929
simclr-tau,39,rerankme,7,0.7575,0.3929,0.7401,0.4286,0.5693,0.5714
simclr-tau,40,rankme,7,-0.9348,-1.0,-0.9525,-0.9643,-0.9133,-0.8929
simclr-tau,40,rerankme,7,0.7288,0.3929,0.7065,0.4286,0.5263,0.5714
simclr-tau,41,rankme,7,-0.9369,-1.0,-0.9552,-0.9643,-0.9113,-0.8929
simclr-tau,41,rerankme,7,0.763,0.3929,0.7429,0.4286,0.5693,0.5714
simclr-tau,42,rankme,7,-0.9339,-1.0,-0.9517,-0.9643,-0.9138,-0.8929
simclr-tau,42,rerankme,7,0.7652,0.3929,0.7464,0.4286,0.578,0.5714
simclr-tau,43,rankme,7,-0.9296,-1.0,-0.9491,-0.9643,-0.906,-0.8929
simclr-tau,43,rerankme,7,0.7761,0.3929,0.7575,0.4286,0.5964,0.5714
simclr-tau,44,rankme,7,-0.9278,-1.0,-0.9471,-0.9643,-0.9088,-0.8929
simclr-tau,44,rerankme,7,0.7615,0.3929,0.7424,0.4286,0.5589,0.5714
simclr-tau,45,rankme,7,-0.9363,-1.0,-0.9543,-0.9643,-0.9149,-0.8929
simclr-tau,45,rerankme,7,0.7859,0.3929,0.7687,0.4286,0.6043,0.5714
simclr-tau,46,rankme,7,-0.9276,-1.0,-0.9466,-0.9643,-0.9119,-0.8929
simclr-tau,46,rerankme,7,0.772,0.3929,0.7557,0.4286,0.5797,0.5714
simclr-tau,47,rankme,7,-0.9279,-1.0,-0.9494,-0.9643,-0.9075,-0.8929
simclr-tau,47,rerankme,7,0.7614,0.3929,0.7433,0.4286,0.5686,0.5714
simclr-tau,49,rankme,7,-0.9273,-1.0,-0.9449,-0.9643,-0.9131,-0.8929
simclr-tau,49,rerankme,7,0.764,0.3929,0.7444,0.4286,0.5822,0.5714
simclr-tau,51,rankme,7,-0.9326,-1.0,-0.9517,-0.9643,-0.9111,-0.8929
simclr-tau,51,rerankme,7,0.7726,0.3929,0.7514,0.4286,0.5931,0.5714
simclr-tau,54,rankme,7,-0.9258,-1.0,-0.9463,-0.9643,-0.9077,-0.8929
simclr-tau,54,rerankme,7,0.7765,0.3929,0.7585,0.4286,0.5897,0.5714
simclr-tau,56,rankme,7,-0.9361,-1.0,-0.9537,-0.9643,-0.9208,-0.8929
simclr-tau,56,rerankme,7,0.7869,0.3929,0.7661,0.4286,0.6084,0.5714
simclr-tau,57,rankme,7,-0.9223,-1.0,-0.9424,-0.9643,-0.9046,-0.8929
simclr-tau,57,rerankme,7,0.7873,0.3929,0.7699,0.4286,0.6005,0.5714
