sweep,downstream,selection_metric,selection_epoch,selected_final_downstream,oracle,first_epoch_in_band
simclr-tau,linear_probe,rankme,0,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,1,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,2,0.7826000452041626,0.8435999751091003,
simclr-tau,linear_probe,rankme,3,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,4,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,6,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,7,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,8,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,9,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,10,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,11,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,12,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,13,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,14,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,15,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,19,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,20,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,21,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,22,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,25,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,26,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,27,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,28,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,29,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,30,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,33,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,35,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,36,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,39,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,40,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,41,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,42,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,43,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,44,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,45,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,46,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,47,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,49,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,51,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,54,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,56,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,57,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,60,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,61,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,62,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,68,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,69,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,71,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,73,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,74,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,76,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,78,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,79,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,82,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,83,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,84,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,85,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,87,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,88,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,89,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,90,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,91,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,92,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,95,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,97,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,99,0.7527999877929688,0.8435999751091003,
simclr-tau,linear_probe,rankme,101,0.7527999877929688,0.8435999751091003,
